vile,year,transmission,fuel,mileage,marque,model,doors,orgine,premiere_main,puissance_fiscale,etat,price,ABS,Airbags,CD/MP3/Bluetooth,Caméra de recul,Climatisation,ESP,Jantes aluminium,Limiteur de vitesse,Ordinateur de bord,Radar de recul,Régulateur de vitesse,Sièges cuir,Système de navigation/GPS,Toit ouvrant,Verrouillage centralisé à distance,Vitres électriques
Fès,2021.0,Automatique,Diesel,65000.0,Jeep,Compass,5.0,WW au Maroc,Non,8.0,Très bon,233000,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Tanger,2022.0,Manuelle,Essence,60000.0,Hyundai,i20,5.0,WW au Maroc,Oui,6.0,Excellent,145000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanger,2022.0,Automatique,Diesel,100000.0,Peugeot,3008,5.0,WW au Maroc,Oui,8.0,Excellent,285000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanger,2022.0,Automatique,Diesel,90000.0,Peugeot,308,5.0,WW au Maroc,Oui,6.0,Excellent,235000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salé,2019.0,Manuelle,Diesel,120000.0,Peugeot,3008,5.0,WW au Maroc,Non,8.0,Excellent,220000,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
Marrakech,2022.0,Automatique,Diesel,75000.0,Kia,Sportage,5.0,WW au Maroc,,,,255000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanger,2022.0,Automatique,Other,25000.0,Hyundai,Elantra,5.0,WW au Maroc,Oui,9.0,Excellent,275000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rabat,2011.0,Manuelle,Diesel,200000.0,Mercedes-Benz,Classe CLK,5.0,WW au Maroc,Non,8.0,Très bon,158000,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Casablanca,2017.0,Manuelle,Diesel,180000.0,Volkswagen,Golf Plus,5.0,Dédouanée,Oui,6.0,Excellent,168000,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
Casablanca,2021.0,Automatique,Diesel,75000.0,Renault,Talisman,5.0,WW au Maroc,Oui,8.0,Très bon,258000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marrakech,2021.0,Manuelle,Essence,100000.0,Volkswagen,Polo,5.0,WW au Maroc,,,,160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanger,2018.0,Automatique,Diesel,150000.0,Volkswagen,Tiguan,5.0,Dédouanée,Non,8.0,Très bon,350000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tanger,2022.0,Manuelle,Diesel,85000.0,Nissan,Micra,5.0,WW au Maroc,Oui,6.0,Excellent,157000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rabat,2018.0,Automatique,Diesel,150000.0,BMW,Série 5,5.0,WW au Maroc,Non,8.0,Très bon,290000,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Casablanca,2018.0,Manuelle,Diesel,100000.0,Peugeot,3008,5.0,WW au Maroc,Non,6.0,Très bon,195000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rabat,2011.0,Manuelle,Diesel,200000.0,Mercedes-Benz,Classe CLK,5.0,WW au Maroc,Non,8.0,Très bon,158000,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Casablanca,2017.0,Manuelle,Diesel,180000.0,Volkswagen,Golf Plus,5.0,Dédouanée,Oui,6.0,Excellent,168000,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
Tanger,2018.0,Automatique,Diesel,150000.0,Volkswagen,Tiguan,5.0,Dédouanée,Non,8.0,Très bon,350000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Casablanca,2021.0,Automatique,Diesel,75000.0,Renault,Talisman,5.0,WW au Maroc,Oui,8.0,Très bon,258000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marrakech,2021.0,Manuelle,Essence,100000.0,Volkswagen,Polo,5.0,WW au Maroc,,,,160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanger,2022.0,Automatique,Diesel,50000.0,Peugeot,208,5.0,WW au Maroc,Non,6.0,Très bon,188000,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
Tanger,2022.0,Manuelle,Diesel,85000.0,Nissan,Micra,5.0,WW au Maroc,Oui,6.0,Excellent,157000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rabat,2018.0,Automatique,Diesel,150000.0,BMW,Série 5,5.0,WW au Maroc,Non,8.0,Très bon,290000,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Casablanca,2022.0,Automatique,Essence,20000.0,Mini,One,3.0,WW au Maroc,Oui,9.0,Excellent,265000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
Casablanca,2020.0,Automatique,Essence,45000.0,Alfa Romeo,4C,3.0,WW au Maroc,Oui,10.0,Excellent,409000,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Marrakech,2023.0,Automatique,Essence,60000.0,Renault,Clio,5.0,WW au Maroc,Oui,6.0,Excellent,135000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rabat,2013.0,Manuelle,Essence,25000.0,Alfa Romeo,159,,,,,,128000,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1
Casablanca,2017.0,Manuelle,Diesel,120000.0,Nissan,Qashqai,5.0,WW au Maroc,Oui,7.0,Excellent,176000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casablanca,2023.0,Automatique,Other,15000.0,Hyundai,Bayon,5.0,WW au Maroc,Non,6.0,Bon,215000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marrakech,2016.0,Automatique,Diesel,85000.0,Toyota,RAV-4,5.0,WW au Maroc,Oui,9.0,Très bon,220000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marrakech,2023.0,Automatique,Essence,25000.0,Hyundai,i20,5.0,WW au Maroc,,,,188000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casablanca,2023.0,Automatique,Other,10000.0,Jeep,Renegade,5.0,WW au Maroc,Oui,8.0,Excellent,236900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marrakech,2017.0,Automatique,Diesel,95000.0,Mercedes-Benz,Classe E,5.0,WW au Maroc,Oui,8.0,Excellent,260000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marrakech,2022.0,Automatique,Diesel,100000.0,Opel,Astra,5.0,WW au Maroc,Non,6.0,Excellent,235000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laâyoune,2018.0,Automatique,Diesel,140000.0,Volkswagen,Coccinelle,3.0,WW au Maroc,Non,8.0,Excellent,215000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fès,2015.0,Automatique,Diesel,160000.0,BMW,Série 4,5.0,WW au Maroc,Non,8.0,Excellent,225000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rabat,2019.0,Automatique,Diesel,80000.0,Volkswagen,Touareg,5.0,WW au Maroc,Non,12.0,Neuf,280000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casablanca,2014.0,Automatique,Diesel,190000.0,BMW,Série 3,5.0,WW au Maroc,Non,8.0,Très bon,200000,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Casablanca,2023.0,Automatique,Diesel,55000.0,Seat,Tarraco,,,,,,390000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rabat,2012.0,Manuelle,Diesel,200000.0,Volkswagen,Golf 6,5.0,WW au Maroc,Oui,6.0,Excellent,117000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tanger,2024.0,Automatique,Other,15000.0,Hyundai,Kona,5.0,WW au Maroc,Non,9.0,Excellent,299000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanger,2024.0,Automatique,Other,30000.0,Hyundai,Tucson,5.0,WW au Maroc,Oui,9.0,Excellent,355000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanger,2022.0,Automatique,Diesel,50000.0,Volkswagen,T-Roc,5.0,WW au Maroc,Oui,8.0,Très bon,325000,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Casablanca,2021.0,Automatique,Diesel,140000.0,Peugeot,3008,5.0,WW au Maroc,Oui,8.0,Excellent,232000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Agadir,2011.0,Automatique,Diesel,190000.0,Volkswagen,Touareg,5.0,WW au Maroc,Non,11.0,Bon,138000,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1
Tanger,2018.0,Automatique,Diesel,180000.0,Volvo,XC40,5.0,Dédouanée,Non,8.0,Excellent,295000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Temara,2013.0,Manuelle,Diesel,200000.0,Dacia,Dokker,5.0,WW au Maroc,Oui,7.0,Très bon,110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fès,2018.0,Manuelle,Diesel,110000.0,Dacia,Logan,5.0,WW au Maroc,Oui,6.0,Excellent,116000,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Casablanca,2012.0,Manuelle,Diesel,190000.0,Ssangyong,Korando,5.0,WW au Maroc,Non,8.0,Excellent,73000,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1
Tanger,2016.0,Automatique,Diesel,130000.0,Land Rover,Range Rover Vogue,5.0,WW au Maroc,Non,12.0,Excellent,360000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tanger,2022.0,Manuelle,Diesel,0.0,Peugeot,208,5.0,WW au Maroc,Oui,6.0,Excellent,167000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casablanca,2019.0,Automatique,Diesel,90000.0,BMW,X3,5.0,WW au Maroc,Oui,8.0,Très bon,349000,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1
Asilah,2017.0,Automatique,Diesel,130000.0,Renault,Clio,5.0,WW au Maroc,Oui,6.0,Neuf,96000,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Tanger,2017.0,Manuelle,Diesel,170000.0,Dacia,Logan,,,,,,98000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tétouan,2021.0,Automatique,Diesel,50000.0,Hyundai,Santa Fe,5.0,WW au Maroc,Oui,9.0,Excellent,285000,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
